Model,Dataset,Accuracy,Precision,Recall,F1-score
RandomForestClassifier,Train,0.9999666666666667,0.9999666679371856,0.9999666666666667,0.9999666647706398
RandomForestClassifier,Validation,0.8789,0.77246521,0.8789,0.8222526052477513
RandomForestClassifier,Test,0.8695,0.7563554210842168,0.8695,0.8089907996790585
DecisionTreeClassifier,Train,1.0,1.0,1.0,1.0
DecisionTreeClassifier,Validation,0.7702,0.7853175699658952,0.7702,0.7775742951009759
DecisionTreeClassifier,Test,0.7684,0.7776963684038454,0.7684,0.7729630336493971
MLPClassifier,Train,0.8795,0.8564499246888002,0.8795,0.8351526946611779
MLPClassifier,Validation,0.8665,0.7929007897487687,0.8665,0.8210432165015187
MLPClassifier,Test,0.8577,0.7712071367174069,0.8577,0.8061666240452083
KNN,Train,0.8791666666666667,0.852510399857535,0.8791666666666667,0.8366464856711724
KNN,Validation,0.8666,0.7873473982977752,0.8666,0.8194783776133627
KNN,Test,0.8547,0.7664877019687713,0.8547,0.8040918758221519
LogisticRegression,Train,0.8745,0.76475025,0.8745,0.8159511869831956
LogisticRegression,Validation,0.8789,0.77246521,0.8789,0.8222526052477513
LogisticRegression,Test,0.8697,0.7563780900000001,0.8697,0.8090903246510135
